,Equity (SPY),Long Treasuries (TLT),Short Treasuries (SHY),Gold (GLD),Oil (DBO)
2021-04-15,-0.0014198675,-0.021016074,0.0004869224,0.062192257,-0.013423042
2021-04-16,-0.0055756024,-0.010017936,0.00037076682,0.056617163,0.017652642
2021-04-19,0.009492242,-0.003443627,0.0007192459,0.061145775,0.04267085
2021-04-20,0.014619528,0.0011788603,0.0004869224,0.066627435,0.05359203
2021-04-21,0.0071845315,-0.0025487547,0.00048690985,0.05502151,0.07855824
2021-04-22,0.016884634,-0.010934187,0.00060273736,0.061919782,0.074497886
2021-04-23,0.007887691,-0.010168997,0.00083453284,0.06952164,0.0646513
2021-04-26,0.0049207853,-0.00896383,0.0008584654,0.06418631,0.08753952
2021-04-27,0.006707808,0.0021100196,0.001089641,0.07158539,0.08291807
2021-04-28,0.0032767693,-0.0022993367,0.00051067973,0.0488729,0.0756843
2021-04-29,0.006028672,0.014261611,0.00062564184,0.06374108,0.06742244
2021-04-30,0.011649911,0.008872393,0.00039462018,0.071115404,0.08930714
2021-05-03,0.00970886,0.015275434,0.0007184615,0.05512368,0.08555092
2021-05-04,0.014404154,0.017301533,0.00048731186,0.060561024,0.057443973
2021-05-05,0.018728923,0.021635266,0.000602954,0.06071254,0.0673853
2021-05-06,0.012426127,0.01837556,0.00037103,0.03285436,0.07238086
2021-05-07,0.0074109305,0.015630279,-0.00032415031,0.018019605,0.077056706
2021-05-10,0.015526954,0.024603883,-9.257862e-05,0.011208821,0.0838618
2021-05-11,0.018892707,0.029429302,-0.00090501737,-0.0060014674,0.07301314
2021-05-12,0.040034942,0.054853722,-0.0007889787,-0.02724081,0.048629317
2021-05-13,0.014512231,0.071936764,-0.0018333289,-0.03690243,0.08432203
2021-05-14,0.013487869,0.045744214,-0.0016006924,-0.033803746,0.08529742
2021-05-17,0.021367729,0.05030201,-0.0010206418,-0.04957752,0.07567665
2021-05-18,0.028814526,0.050284404,-0.0018332164,-0.052183677,0.09375512
2021-05-19,0.037338097,0.054310262,-0.0013690294,-0.05347118,0.12889099
2021-05-20,0.030183634,0.03567793,-0.0019495152,-0.054721054,0.1564646
2021-05-21,0.033016533,0.042705067,-0.0013682104,-0.05523552,0.11476495
2021-05-24,0.023411665,0.0406785,-0.0017169057,-0.06755604,0.09585254
